index,File_Name,File_Description,date_published,flmd_filename,flmd_source
647,*_DO_Temp.csv,Time series data (temperature; dissolved oxygen; and dissolved oxygen saturation) collected using miniDOT sensor for each sampling event. The asterisk * refers to the parent ID (e.g. CM_005).,2023-12-20,v3_CM_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v3/v3_CM_SSS_Data_Package/v3_CM_SSS_flmd.csv
683,*_DO_Temp.csv,Time series data (temperature; dissolved oxygen) collected using miniDOT sensor for each sampling event. The asterisk * refers to the version number and Parent_ID (e.g. CM_005).,2024-07-02,v4_CM_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v4/v4_CM_SSS_Data_Package/v4_CM_SSS_flmd.csv
961,*_DO_Temp.csv,Time series data (temperature; dissolved oxygen) collected using miniDOT sensor for each sampling event. The asterisk * refers to the version number and Parent_ID (e.g. CM_005).,2025-04-16,v5_CM_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v5/v5_CM_SSS_Data_Package/v5_CM_SSS_flmd.csv
1326,*_DO_Temp.csv,Time series data (temperature; dissolved oxygen) collected using miniDOT sensor for each sampling event. The asterisk * refers to the version number and Parent_ID (e.g. CM_005).,2025-09-16,v6_CM_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/CM_SSS_Data_Package_v6/v6_CM_SSS_Data_Package/v6_CM_SSS_flmd.csv
391,*_EnvContext_*.*,Field photos to show the environmental context of each SSS site. The first asterisk refers to the Parent ID. The second asterisk is an indicator to differentiate photos taken at the same site and date. The last asterisk indicates the file extension (jpg or jpeg). Samplers took photos looking upstream; downstream; and across stream at most sites.,2023-07-21,YRBT_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/Wenas_Data_Package/Wenas_Data_Package/YRBT_flmd.csv
487,*_MC_Water_DO_Temp.csv,Approximately one hour of time series data (dissolved oxygen; dissolved oxygen saturation; temperature) collected using three miniDOT sensor in a manual chamber. The asterisk * refers to the Parent_ID. Fifteen minutes of data was removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor. v2 changes include updates to site IDs and renaming files such that the manual chamber filenames are unique from the other miniDOT data; see the v2_readme_SSS.pdf for detailed change history.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
608,*_MC_Water_DO_Temp.csv,Approximately one hour of time series data (dissolved oxygen; dissolved oxygen saturation; temperature) collected using three miniDOT sensor in a manual chamber. The asterisk * refers to the Parent_ID. Five minutes of data were removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1150,*_MC_Water_DO_Temp.csv,"Approximately 75 mins of time series data (dissolved oxygen; dissolved oxygen saturation; temperature) collected using three miniDOT sensor in a manual chamber. The asterisk * refers to the Parent_ID and version number. Five minutes of data was removed from the beginning the time series to remove any extraneous data caused by deploying the sensor. The time series was trimmed to be about 75 minutes. A sensor-specific offset was applied to the dissolved oxygen data to account for sensor calibration at higher saturation. The offset was calculated by performing a bubbler test as described by the manufacturer (PME). Dissolved oxygen saturation was calculated using the Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and baroTROLL absolute pressure. The absolute pressure data was interpolated using linear interpolation to account for difference in logging time intervals. When dissolved oxygen data extended beyond the time period of the pressure data, the first or last pressure value was used in the saturation calculation.",2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
353,*_SM_final_daily_prediction_results.csv,Daily mean results from stream metabolizer. Includes mean; standard deviation; and distribution stats for ER; GPP; and k600. Also includes daily fit statistics. The asterisk (*) indicates the Parent_ID; followed by an underscore; followed by the Site_ID.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
354,*_SM_final_full_prediction_results.csv,Model-time-resolution (15 minute) input values and model predictions for dissolved oxygen.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
355,*_SM_final_instant_fit_results.csv,Model-time-resolution (15 minute) observation error and process error statistics. The asterisk (*) indicates the Parent_ID; followed by an underscore; followed by the Site_ID.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
356,*_SM_final_overall_fit_results.csv,Observation error and process error statistics for the complete study period. The asterisk (*) indicates the Parent_ID; followed by an underscore; followed by the Site_ID.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
357,*_SM_output.html,R markdown report containing the complete model run; including input plots; model performance metrics; and output plots. The asterisk (*) indicates the Parent_ID; followed by an underscore; followed by the Site_ID.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
569,*_std.xmu,"Phosphorus X-ray absorption near edge structure (P XANES) data from reference compounds. Methods information can be found in ""BSLE_P-XANES_Methods.csv"".",2023-11-14,v3_BSLE_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v3/v3_BSLE_Data_Package/v3_BSLE_flmd.csv
821,*_std.xmu,"Phosphorus X-ray absorption near edge structure (P XANES) data from reference compounds. Methods information can be found in ""BSLE_P-XANES_Methods.csv"". A sample name with ""-filt0.7"" appended indicates it was only filtered through a 0.7 micrometer filter. A sample name with ì-partî appended indicates it is the material greater than 0.7 that was deposited on top of the filter (i.e. particulates too large to pass through the filter). A sample name with ì-solidî appended refers to data collected on solid ground char.",2024-10-25,v4_BSLE_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/BSLE_Data_Package_v4/v4_BSLE_Data_Package/v4_BSLE_flmd.csv
352,*_Temp_DO_Press_Depth,Approximately 35 days of 1-minute time-series data (temperature; dissolved oxygen; pressure; depth) collected using miniDOT and HOBO depth sensor. Depth was calculated (see data file header rows and installation methods file for more details). Depth and Pressure are measured/calculated with 15-minute resolution so the same value is repeated 15 times to upsample to 1-minute resolution. Input file for the streamMetabolizer model. The asterisk (*) indicates the Parent_ID.,2023-06-29,SSS_ER_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Ecosystem_Respiration_Data_Package/SSS_Ecosystem_Respiration_Data_Package/SSS_ER_flmd.csv
277,*_Water_Depth_*.csv,Water depth data collected using sonar. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) is an indicator of the vessel (e.g. Kayak1; Kayak2; Upstream; Downstream). Two kayaks were used at each site to deploy the sonar. Due to accessibility issues at one site; a jetboat was used. At this site; data was collected while moving upstream and while moving downstream.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
495,*_Water_Depth_*.csv,Water depth data collected using sonar. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) is an indicator of the vessel (e.g. Kayak1; Kayak2; Upstream; Downstream). Two kayaks were used at each site to deploy the sonar. Due to accessibility issues at one site; a jetboat was used. At this site; data was collected while moving upstream and while moving downstream.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
771,*_Water_Depth_*.csv,Water depth data collected using sonar. The first asterisk (*) refers to the Parent_ID. The second asterisk (*) is an indicator of the vessel (e.g. Kayak1; Kayak2; Upstream; Downstream). Two kayaks were used at each site to deploy the sonar. Due to accessibility issues at one site; a jetboat was used. At this site; data was collected while moving upstream and while moving downstream.,2024-10-22,v3_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v3/v3_SSS_Data_Package/v3_SSS_flmd.csv
604,*_Water_DO_Temp-*.csv,Approximately 71 days of time series data (dissolved oxygen; and dissolved oxygen saturation; temperature) collected using miniDOT sensor. The first asterisk * refers to the Parent_ID. The second asterisk indicates the location of the sensor (Riverbed; InStream). All data was removed from the day of deployment; twelve hours of day after deployment; and two hours from the day of retrieving the sensor. Additional data was removed from sites where the sensor was found out of water. SSF_04 had an additional 2.5 (60 hours) days removed from the beginning; SSF_11 had an additional 15 hours removed from the beginning; SSF_10 had an additional 16 hours removed from the beginning to remove extraneous data. Some sensors were removed to secure the zipties and the data during this time was removed.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1147,*_Water_DO_Temp-*.csv,"Approximately 71 days of time series data (dissolved oxygen; and dissolved oxygen saturation; temperature) collected using miniDOT sensor. The first asterisk * refers to the Parent_ID and version number. The second asterisk indicates the location of the sensor (Riverbed; InStream). All data was removed from the day of deployment; the day of sample collection; and two hours from the day of retrieving the sensor due to riverbed disturbance. Additional data was removed when the sensor was assumed to have been out of water or when the sensor was removed to secure zipties. A sensor-specific offset was applied to the dissolved oxygen data to account for sensor calibration at higher saturation. The offset was calculated by performing a bubbler test as described by the manufacturer (PME). Dissolved oxygen saturation was calculated using the Garcia & Gordon (1992) equation with miniDOT dissolved oxygen and baroTROLL absolute pressure. The absolute pressure data was interpolated using linear interpolation to account for difference in logging time intervals. When dissolved oxygen data extended beyond the time period of the pressure data, the first or last pressure value was used in the saturation calculation.",2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
257,*_Water_DO_Temp.csv,Approximately 35 days of time series data (dissolved oxygen; and dissolved oxygen saturation; temperature) collected using miniDOT sensor. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment; the day of sample collection; and the day of retrieving the sensor due to riverbed disturbance.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
269,*_Water_DO_Temp.csv,Approximately one hour of time series data (dissolved oxygen; dissolved oxygen saturation; temperature) collected using three miniDOT sensor in a manual chamber. The asterisk * refers to the Parent_ID. Fifteen minutes of data was removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
482,*_Water_DO_Temp.csv,Approximately 35 days of time series data (dissolved oxygen; and dissolved oxygen saturation; temperature) collected using miniDOT sensor. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment; the day of sample collection; and the day of retrieving the sensor due to riverbed disturbance.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
905,*_Water_DO_Temp.csv,Time series data (temperature; dissolved oxygen) collected using miniDOT sensor for each sampling event. The asterisk * refers to the Parent_ID (e.g. AV1_005).,2025-04-08,WHONDRS_AV1_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/WHONDRS_AV1_Data_Package/WHONDRS_AV1_Data_Package/WHONDRS_AV1_flmd.csv
1114,*_Water_DO_Temp.csv,Time series data (temperature; dissolved oxygen) collected using miniDOT sensor for each sampling event. The asterisk * refers to the Parent_ID (e.g. AV1_005).,2025-06-30,v2_WHONDRS_AV1_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/WHONDRS_AV1_Data_Package_v2/v2_WHONDRS_AV1_Data_Package/v2_WHONDRS_AV1_flmd.csv
592,*_Water_Press_Temp-*.csv,Approximately 71 days of time series data (absolute pressure; temperature) collected using HOBO depth sensor. The asterisk * refers to the Parent_ID. The second asterisk indicates the location of the sensor (Riverbed; InStream). All data was removed from the day of deployment; twelve hours of day after deployment; and two hours from the day of retrieving the sensor. Additional data was removed from sites where the sensor was found out of water. Some sensors were also removed to secure the zipties and placed as close as possible to the original deployment location. The data during this time was removed and to account for any change in placement; an offset was applied to the data after it was redeployed. The offset was calculated by subtracting the pressure when it was removed from the pressure when it was redeployed. This resulted in the two data points being equal. SSF_04 had an additional 2.5 (60 hours) days removed from the beginning to remove extraneous data.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1138,*_Water_Press_Temp-*.csv,Approximately 71 days of time series data (absolute pressure; temperature) collected using HOBO depth sensor. The asterisk * refers to the Parent_ID and version number. The second asterisk indicates the location of the sensor (Riverbed; InStream). All data was removed from the day of deployment; the day after deployment; and two hours from the day of retrieving the sensor. Additional data was removed from sites where the sensor was found out of water. Some sensors were also removed to secure the zipties and placed as close as possible to the original deployment location. The data during this time was removed and to account for any change in placement; an offset was applied to the data after it was redeployed. The offset was calculated by subtracting the pressure when it was removed from the pressure when it was redeployed. This resulted in the two data points being equal. Any visual sudden changes in pressure were assumed to be the sensor moving and were corrected in the same manor using an offset. Additional data was removed when the sensor was assumed to have been out of water.,2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
265,*_Water_Press_Temp.csv,Approximately 35 days of time series data (absolute pressure; temperature) collected using HOBO depth sensor. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment and the day of retrieving the sensor. One to two hours of data were also removed during sample collection because the sensor was removed to download the data. The sensor was placed back as close as possible to the original deployment location; but to account for any change in placement; an offset was applied to the data after it was redeployed. The offset was calculated by subtracting the pressure when it was removed from the pressure when it was redeployed. This resulted in the two data points being equal.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
470,*_Water_Press_Temp.csv,Approximately 35 days of time series data (absolute pressure; temperature) collected using HOBO depth sensor. The asterisk * refers to the Parent_ID. All data was removed from the day of deployment and the day of retrieving the sensor. One to two hours of data were also removed during sample collection because the sensor was removed to download the data. The sensor was placed back as close as possible to the original deployment location; but to account for any change in placement; an offset was applied to the data after it was redeployed. The offset was calculated by subtracting the pressure when it was removed from the pressure when it was redeployed. This resulted in the two data points being equal.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
596,*_Water_Temp_SpC_pH.csv,Approximately two hours of time series data (temperature; specific conductance; pH) collected using EXO sensor. The asterisk * refers to the Parent_ID. Ten minutes of data was removed from the beginning and five minutes were removed from the end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1141,*_Water_Temp_SpC_pH.csv,"Approximately two hours of time series data (temperature; specific conductance; pH) collected using EXO sensor. The asterisk * refers to the Parent_ID and version number. Fifteen minutes of data was removed from the beginning and five minutes were removed from the end of the time series to remove any extraneous data caused by deploying or retrieving the sensor. QAQC of these data consisted of multiple steps: 1) all values outside of the possible range were changed to NA; 2) outliers were identified and flagged using IQR; 3) outliers were removed prior to calculating the summary file. The possible range for each metric was informed by the sensor specifications, the physical properties, and our knowledge of the systems.",2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
476,*_Water_Temp_SpC_Turb_ChlA.csv,Approximately two hours of time series data (temperature; specific conductance; turbidity; chlorophyll A) collected using MantaRiver sensor. All turbidity values less than 0.5 (including negative values) were changed to zero. The manufacturer states that the accuracy is +/- 0.5; thus we are not confident anything below 0.5 is a non-zero reading. Parent_ID SSS024 and SSS036 (Site_ID W20 and W10) were deployed longer (for the purpose of another study) and have approximately 20 days of time series data. The asterisk * refers to the Parent_ID. Five to fifteen minutes of data was removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
273,*_Water_Temp_SpC_Turb_pH_ChlA.csv,Approximately two hours of time series data (temperature; specific conductance; turbidity; pH; chlorophyll A) collected using MantaRiver sensor. All turbidity values less than 0.5 (including negative values) were changed to zero. The manufacturer states that the accuracy is +/- 0.5; thus we are not confident anything below 0.5 is a non-zero reading. Parent_ID SSS024 and SSS036 (Site_ID W20 and W10) were deployed longer (for the purpose of another study) and have approximately 20 days of time series data. The asterisk * refers to the Parent_ID. Five to fifteen minutes of data was removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-04-14,SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package/SSS_Data_Package/SSS_flmd.csv
475,*_Water_Temp_SpC_Turb_pH_ChlA.csv,Approximately two hours of time series data (temperature; specific conductance; turbidity; pH; chlorophyll A) collected using MantaRiver sensor. All turbidity values less than 0.5 (including negative values) were changed to zero. The manufacturer states that the accuracy is +/- 0.5; thus we are not confident anything below 0.5 is a non-zero reading. Parent_ID SSS024 and SSS036 (Site_ID W20 and W10) were deployed longer (for the purpose of another study) and have approximately 20 days of time series data. The asterisk * refers to the Parent_ID. Five to fifteen minutes of data was removed from the beginning and end of the time series to remove any extraneous data caused by deploying or retrieving the sensor.,2023-09-20,v2_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSS_Data_Package_v2/v2_SSS_Data_Package/v2_SSS_flmd.csv
600,*_Water_Temp_SpC_Turb_pH_ChlA.csv,Approximately two hours of time series data (temperature; specific conductance; turbidity; pH; chlorophyll A) collected using MantaRiver sensor. The asterisk * refers to the Parent_ID. Ten minutes of data was removed from the beginning of the time series to remove any extraneous data caused by deploying the sensor.,2023-11-14,SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package/SSF_Data_Package/SSF_flmd.csv
1144,*_Water_Temp_SpC_Turb_pH_ChlA.csv,"Approximately two hours of time series data (temperature; specific conductance; turbidity; pH; chlorophyll A) collected using MantaRiver sensor. The asterisk * refers to the Parent_ID and version number. Ten minutes of data was removed from the beginning and five minutes was removed from the end of the time series to remove any extraneous data caused by deploying or retrieving the sensor. QAQC of these data consisted of multiple steps: 1) all turbidity and chlorophyll A values less than 0 (including negative values) were changed to zero; 2) all values outside of the possible range were changed to NA; 3) outliers were identified and flagged using IQR; 4) outliers were removed prior to calculating the summary file. The possible range for each metric was informed by the sensor specifications, the physical properties, and our knowledge of the systems.",2025-06-30,v2_SSF_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/SSF_Data_Package_v2/v2_SSF_Data_Package/v2_SSF_flmd.csv
963,*.d,"Raw FTICR-MS unprocessed instrument files. The asterisk * indicates the sample name; followed by a hyphen and the replicate indicator (1; 2; or 3); followed by the ion accumulation time (IAT). A ""p"" in the IAT indicates ""point"" (e.g., 2p5 = 2.5; p01 = 0.01). Each sample has three replicates. During solid phase extraction (SPE), FTICR-MS samples were diluted to achieve a  standard NPOC concentration of 1.5 milligrams carbon per liter. For theses sediment samples (labeled with ìSEDî in the sample name), the sediment NPOC values were used for this calculation (labeled with ìSEDî in the sample name). For example, CM_001_SED-1 NPOC values were used to determine the dilution for CM_001_SED-1. FTICR methods information can be found in CM_SSS_Sediment_FTICR_Methods.csv, CM_SSS_Water_FTICR_Methods.csv. and v*_CM_SSS_Methods_Codes.csv. See the critical details section in the readme for more information about these data.",2025-04-16,v5_CM_SSS_flmd.csv,Z:/00_ESSDIVE/01_Study_DPs/00_ARCHIVE-WHEN-PUBLISHED/CM_SSS_Data_Package_v5/v5_CM_SSS_Data_Package/v5_CM_SSS_flmd.csv
